NEXT_ID_IFP,NEXT_FUNCTION,N,SHARE_AMONG_OBSERVED_NEXT,SHARE_AMONG_ALL_STARTS
1,docente_de_aula,1326432,0.975891701000588,0.906307650680944
5,otra_en_establecimiento,12428,0.00914361389052384,0.00849164637362698
2,planta_tecnico_pedagogica,5030,0.00370070629782225,0.0034368346684377
7,jefe_unidad_tecnico_pedagogica,3595,0.00264493819894055,0.00245634605030487
3,planta_directiva,2509,0.00184593878752207,0.00171431773024059
8,inspector_general,2480,0.00182460270747499,0.00169450297767902
4,director,1971,0.00145011771630371,0.001346719906857
9,orientador,1353,0.000995438493231313,0.00092446069709666
11,tecnico_pedagogica,1298,0.000954973513831666,0.00088688099396265
16,profesor_encargado_establecimiento,986,0.000725426721600942,0.000673701587093354
6,otra_fuera_establecimiento,373,0.000274426133019423,0.000254858713981563
17,educador_tradicional,231,0.000169952913478517,0.000157834753162844
15,subdirector,226,0.00016627427898764,0.000154418416514298
10,directiva,220,0.000161859917598587,0.000150318812536042
12,supervision,68,5.0029429075927e-05,4.64621784202313e-05
